product_id,product_name,category,subcategory,unit_price,unit_cost,is_active,launch_date
PROD-162,Us Supplies X,Office,Supplies,211.210,94.850,True,2026-05-15
PROD-016,,Beauty,,"$1,010.79",,True,
PROD-074,Who Team Elite,Sports,Team Sports,$991.75,582,True,12/08/2025
PROD-097,Building Stationery X,Office,Stationery,790.900,448,YES,07/17/2024
PROD-167,Between Fragrance Plus,Beauty,Fragrance,116,72,True,01/12/2020
PROD-010,Better Furniture Elite,Home & Garden,Furniture,$257.12,186.970,NO,2018-08-31
PROD-101,Grow Team X,Sports,Team Sports,"$1,176.39",526.430,1,2023-11-12
PROD-136,Policy Supplies X,Office,Supplies,856,430.030,YES,2025-10-31
PROD-019,True Stationery,Office,Stationery,321.740,224.890,True,04/18/2025
PROD-149,Once Outdoor Plus,Home & Garden,Outdoor,$634.69,,YES,01-Jun-2023
PROD-172,Arm Outdoor Plus,Home & Garden,Outdoor,556,$257.59,1,12-Aug-2024
PROD-031,,Apparel,,716.070,,1,
PROD-156,Give Women's Plus,Apparel,Women's Clothing,127.850,$57.84,1,09/21/2025
PROD-181,Knowledge Furniture Elite,Office,Furniture,85.880,$48.13,YES,09-Aug-2019
PROD-126,Our Outdoor Elite,Sports,Outdoor Recreation,892,367.340,YES,11/17/2025
PROD-198,Hundred Skincare Elite,Beauty,Skincare,$953.47,$527.75,True,10/24/2019
PROD-165,Material Furniture Elite,Home & Garden,Furniture,701.370,285.160,True,31-Jan-2025
PROD-191,With Laptops Pro,Electronics,Laptops,807.060,$413.61,True,16-Mar-2019
PROD-085,Benefit Footwear X,Apparel,Footwear,106.790,47.980,True,2022-08-11
PROD-076,Evidence Decor Plus,Home & Garden,Decor,$339.19,199.600,False,17-Aug-2019
PROD-125,Effect Laptops,Electronics,Laptops,285.590,,1,
PROD-171,,Sports,,$345.49,,True,
PROD-105,Type Haircare Plus,Beauty,Haircare,466,$287.03,1,07/21/2024
PROD-102,Finally Men's Lite,Apparel,Men's Clothing,335,$223.19,1,12-May-2019
PROD-070,,Electronics,,$693.08,,1,
PROD-026,Best Fitness Pro,Sports,Fitness,337.860,$152.01,0,2019-04-13
PROD-096,,Home & Garden,,977,,YES,
PROD-017,List Furniture Plus,Office,Furniture,$588.88,,1,
PROD-142,Remain Furniture X,Home & Garden,Furniture,$695.61,302,YES,10/21/2021
PROD-186,Training Furniture Lite,Home & Garden,Furniture,905.180,386,True,04/14/2025
PROD-155,Almost Kitchen,Home & Garden,Kitchen,96,58,1,02/11/2026
PROD-069,White Decor Pro,Home & Garden,,$205.51,,1,
PROD-067,Institution Fragrance Pro,Beauty,,67.240,,True,
P121,Woman Fragrance Elite,Beauty,Fragrance,810,$412.73,True,13-May-2019
PROD-148,Against Haircare Elite,Beauty,Haircare,$585.37,308,True,15-Apr-2021
PROD-099,Social Wearables Pro,Electronics,Wearables,960.180,608,True,12/24/2022
PROD-139,Show Kitchen Pro,Home & Garden,Kitchen,$825.75,445,1,11/01/2024
PROD-168,Reason Outdoor X,Home & Garden,Outdoor,$234.45,175.840,1,2019-03-28
PROD-046,,Electronics,,717.900,,YES,
PROD-114,Hour Furniture Elite,Office,Furniture,$768.53,399,True,2019-09-17
PROD-066,Support Sportswear Elite,Apparel,Sportswear,395,$258.90,True,2018-09-07
PROD-179,Customer Laptops Plus,Electronics,Laptops,"1,004.840",552.590,1,16-Jan-2020
PROD-087,Break Supplies Plus,Office,Supplies,123.580,$80.96,True,2025-09-26
PRD-012, play furniture pro ,Office,Furniture,$437.59,$327.72,True,2022-09-17
PROD-068,Attorney Men's Elite,Apparel,Men's Clothing,747.500,$332.95,1,09/08/2020
PROD-083,Discuss Sportswear Plus,Apparel,,127,,True,
PRD-003, election fragrance ,Beauty,Fragrance,$843.08,$436.55,YES,2020-10-01
P195,Different Outdoor,Sports,Outdoor Recreation,145.720,96,YES,07/04/2022
PROD-039,Dark Sportswear X,Apparel,Sportswear,664.260,$346.13,True,04/28/2023
PROD-025,Great Accessories Elite,Electronics,Accessories,$875.22,586.600,True,11/27/2024
PROD-061,Discuss Team X,Sports,Team Sports,79.410,$54.25,YES,24-Feb-2023
PROD-196,Institution Men's,Apparel,Men's Clothing,167,$63.47,YES,07-Oct-2025
PROD-030,Surface Haircare X,Beauty,Haircare,$73.31,$42.79,True,29-Aug-2020
PROD-020,Song Haircare Plus,Beauty,Haircare,481,$298.08,True,20-Jun-2018
PROD-056,Shoulder Fragrance Elite,Beauty,Fragrance,560,$320.94,0,12/15/2022
PROD-094,Enter Sportswear Elite,Apparel,Sportswear,625,,True,29-Nov-2022
PROD-182,Family Accessories,Electronics,Accessories,1177,$531.52,1,12/22/2019
PROD-159,,Office,,$375.94,,1,
PROD-006,Sit Furniture Plus,Office,Furniture,694,$439.08,True,03/02/2024
PROD-133,Your Team,Sports,Team Sports,$618.32,243.380,1,15-Jun-2022
PROD-057,Common Supplies Elite,Office,,716.570,,0,
